"","ID","Description","Count","GeneRatio","geneID"
"GO:0000146","GO:0000146","microfilament motor activity",0,"0/28",""
"GO:0003777","GO:0003777","microtubule motor activity",0,"0/28",""
"GO:0061791","GO:0061791","GTPase motor activity",0,"0/28",""
"GO:0140605","GO:0140605","proton motive force-driven motor activity",0,"0/28",""
"GO:0004133","GO:0004133","glycogen debranching enzyme activity",0,"0/28",""
"GO:0009975","GO:0009975","cyclase activity",0,"0/28",""
"GO:0016491","GO:0016491","oxidoreductase activity",1,"1/28","CYP1B1"
"GO:0016740","GO:0016740","transferase activity",1,"1/28","UBE2L6"
"GO:0016787","GO:0016787","hydrolase activity",1,"1/28","PRUNE2"
"GO:0016829","GO:0016829","lyase activity",1,"1/28","CYP1B1"
"GO:0016853","GO:0016853","isomerase activity",0,"0/28",""
"GO:0016874","GO:0016874","ligase activity",2,"2/28","HLCS/ASNSD1"
"GO:0032451","GO:0032451","demethylase activity",0,"0/28",""
"GO:0061783","GO:0061783","peptidoglycan muralytic activity",0,"0/28",""
"GO:0140096","GO:0140096","catalytic activity, acting on a protein",2,"2/28","UBE2L6/HLCS"
"GO:0140640","GO:0140640","catalytic activity, acting on a nucleic acid",0,"0/28",""
"GO:0003735","GO:0003735","structural constituent of ribosome",1,"1/28","MRPL1"
"GO:0005199","GO:0005199","structural constituent of cell wall",0,"0/28",""
"GO:0005200","GO:0005200","structural constituent of cytoskeleton",2,"2/28","KRT19/CTNNA2"
"GO:0005201","GO:0005201","extracellular matrix structural constituent",0,"0/28",""
"GO:0005212","GO:0005212","structural constituent of eye lens",0,"0/28",""
"GO:0005213","GO:0005213","structural constituent of egg chorion",0,"0/28",""
"GO:0008147","GO:0008147","structural constituent of bone",0,"0/28",""
"GO:0008307","GO:0008307","structural constituent of muscle",1,"1/28","KRT19"
"GO:0008316","GO:0008316","structural constituent of vitelline membrane",0,"0/28",""
"GO:0016490","GO:0016490","structural constituent of peritrophic membrane",0,"0/28",""
"GO:0017056","GO:0017056","structural constituent of nuclear pore",1,"1/28","NUP88"
"GO:0019911","GO:0019911","structural constituent of myelin sheath",0,"0/28",""
"GO:0030280","GO:0030280","structural constituent of skin epidermis",0,"0/28",""
"GO:0030281","GO:0030281","structural constituent of cutaneous appendage",0,"0/28",""
"GO:0030527","GO:0030527","structural constituent of chromatin",0,"0/28",""
"GO:0039660","GO:0039660","structural constituent of virion",0,"0/28",""
"GO:0042302","GO:0042302","structural constituent of cuticle",0,"0/28",""
"GO:0043886","GO:0043886","structural constituent of carboxysome",0,"0/28",""
"GO:0097099","GO:0097099","structural constituent of albumen",0,"0/28",""
"GO:0097493","GO:0097493","structural molecule activity conferring elasticity",0,"0/28",""
"GO:0098918","GO:0098918","structural constituent of synapse",0,"0/28",""
"GO:0140756","GO:0140756","structural constituent of proteasome",0,"0/28",""
"GO:0005319","GO:0005319","lipid transporter activity",1,"1/28","NPC2"
"GO:0022857","GO:0022857","transmembrane transporter activity",1,"1/28","S100A6"
"GO:0140318","GO:0140318","protein transporter activity",0,"0/28",""
"GO:0000035","GO:0000035","acyl binding",0,"0/28",""
"GO:0003682","GO:0003682","chromatin binding",0,"0/28",""
"GO:0003823","GO:0003823","antigen binding",0,"0/28",""
"GO:0005515","GO:0005515","protein binding",20,"20/28","UBE2L6/TMEM231/TMEM192/S100A6/PITX3/PHAX/PEX19/NUP88/NPC2/NES/NDUFB11/MRPL1/KRT19/HLCS/EPM2AIP1/CYP1B1/CTNNA2/CD99L2/CD46/ALMS1"
"GO:0005549","GO:0005549","odorant binding",0,"0/28",""
"GO:0008289","GO:0008289","lipid binding",1,"1/28","NPC2"
"GO:0008430","GO:0008430","selenium binding",0,"0/28",""
"GO:0015643","GO:0015643","toxic substance binding",1,"1/28","PHAX"
"GO:0019808","GO:0019808","polyamine binding",0,"0/28",""
"GO:0030246","GO:0030246","carbohydrate binding",1,"1/28","PITX3"
"GO:0031409","GO:0031409","pigment binding",0,"0/28",""
"GO:0033218","GO:0033218","amide binding",2,"2/28","PEX19/HLCS"
"GO:0033226","GO:0033226","2-aminoethylphosphonate binding",0,"0/28",""
"GO:0035731","GO:0035731","dinitrosyl-iron complex binding",0,"0/28",""
"GO:0036094","GO:0036094","small molecule binding",2,"2/28","NPC2/HLCS"
