"","ID","Description","Count","GeneRatio","geneID"
"GO:0000146","GO:0000146","microfilament motor activity",0,"0/139",""
"GO:0003777","GO:0003777","microtubule motor activity",0,"0/139",""
"GO:0061791","GO:0061791","GTPase motor activity",0,"0/139",""
"GO:0140605","GO:0140605","proton motive force-driven motor activity",0,"0/139",""
"GO:0004133","GO:0004133","glycogen debranching enzyme activity",0,"0/139",""
"GO:0009975","GO:0009975","cyclase activity",0,"0/139",""
"GO:0016491","GO:0016491","oxidoreductase activity",11,"11/139","UEVLD/TYMP/SQLE/SESN2/PLOD2/MGST2/GSTP1/GRHPR/CYB5R2/ALDH16A1/ACOX1"
"GO:0016740","GO:0016740","transferase activity",21,"21/139","UAP1L1/UAP1/TYMP/TERT/STK10/SMYD3/SIRT6/CCL13/RNF213/RIPK1/PAPSS2/NEDD4/MGST2/MBOAT2/LTN1/POGLUT2/GSTP1/ELOVL5/CDS2/ASMTL/ALG6"
"GO:0016787","GO:0016787","hydrolase activity",32,"32/139","XRN1/TUBAL3/SIRT6/RPP40/RNH1/RNF213/RHBDD1/RBBP9/PREP/PLCB3/NT5DC3/NT5C/NLN/NEU1/NAGLU/NADSYN1/MTMR6/MPG/LYPLA1/LGMN/LARS1/IFT27/GPI/FUCA2/ERI1/ERCC6/DDX18/CTBS/ATG4B/ASMTL/ASCC3/AARS1"
"GO:0016829","GO:0016829","lyase activity",7,"7/139","UXS1/SGPL1/PDXDC1/MGST2/L3HYPDH/GGCT/ALDOA"
"GO:0016853","GO:0016853","isomerase activity",3,"3/139","AMH/GPI/FKBP15"
"GO:0016874","GO:0016874","ligase activity",5,"5/139","UBA6/NADSYN1/LARS1/AARS1/AACS"
"GO:0032451","GO:0032451","demethylase activity",0,"0/139",""
"GO:0061783","GO:0061783","peptidoglycan muralytic activity",0,"0/139",""
"GO:0140096","GO:0140096","catalytic activity, acting on a protein",19,"19/139","UBA6/TYMP/STK10/SMYD3/SIRT6/CCL13/RNF213/RIPK1/RHBDD1/PREP/PLOD2/NLN/NEDD4/MTMR6/LYPLA1/LTN1/LGMN/FKBP15/ATG4B"
"GO:0140640","GO:0140640","catalytic activity, acting on a nucleic acid",11,"11/139","XRN1/TERT/RPP40/RNH1/MPG/LARS1/ERI1/ERCC6/DDX18/ASCC3/AARS1"
"GO:0003735","GO:0003735","structural constituent of ribosome",1,"1/139","ISG15"
"GO:0005199","GO:0005199","structural constituent of cell wall",0,"0/139",""
"GO:0005200","GO:0005200","structural constituent of cytoskeleton",2,"2/139","TUBAL3/TPM1"
"GO:0005201","GO:0005201","extracellular matrix structural constituent",8,"8/139","PCOLCE/MFAP5/LTBP2/FN1/COL6A1/COL3A1/COL1A2/COL1A1"
"GO:0005212","GO:0005212","structural constituent of eye lens",0,"0/139",""
"GO:0005213","GO:0005213","structural constituent of egg chorion",0,"0/139",""
"GO:0008147","GO:0008147","structural constituent of bone",0,"0/139",""
"GO:0008307","GO:0008307","structural constituent of muscle",1,"1/139","TPM1"
"GO:0008316","GO:0008316","structural constituent of vitelline membrane",0,"0/139",""
"GO:0016490","GO:0016490","structural constituent of peritrophic membrane",0,"0/139",""
"GO:0017056","GO:0017056","structural constituent of nuclear pore",0,"0/139",""
"GO:0019911","GO:0019911","structural constituent of myelin sheath",0,"0/139",""
"GO:0030280","GO:0030280","structural constituent of skin epidermis",0,"0/139",""
"GO:0030281","GO:0030281","structural constituent of cutaneous appendage",0,"0/139",""
"GO:0030527","GO:0030527","structural constituent of chromatin",0,"0/139",""
"GO:0039660","GO:0039660","structural constituent of virion",0,"0/139",""
"GO:0042302","GO:0042302","structural constituent of cuticle",0,"0/139",""
"GO:0043886","GO:0043886","structural constituent of carboxysome",0,"0/139",""
"GO:0097099","GO:0097099","structural constituent of albumen",0,"0/139",""
"GO:0097493","GO:0097493","structural molecule activity conferring elasticity",0,"0/139",""
"GO:0098918","GO:0098918","structural constituent of synapse",0,"0/139",""
"GO:0140756","GO:0140756","structural constituent of proteasome",0,"0/139",""
"GO:0005319","GO:0005319","lipid transporter activity",0,"0/139",""
"GO:0022857","GO:0022857","transmembrane transporter activity",0,"0/139",""
"GO:0140318","GO:0140318","protein transporter activity",0,"0/139",""
"GO:0000035","GO:0000035","acyl binding",0,"0/139",""
"GO:0003682","GO:0003682","chromatin binding",4,"4/139","SOX9/SMARCC1/SIRT6/ERCC6"
"GO:0003823","GO:0003823","antigen binding",0,"0/139",""
