"","ID","Description","Count","GeneRatio","geneID"
"GO:0000146","GO:0000146","microfilament motor activity",1,"1/63","MYO1C"
"GO:0003777","GO:0003777","microtubule motor activity",0,"0/63",""
"GO:0061791","GO:0061791","GTPase motor activity",0,"0/63",""
"GO:0140605","GO:0140605","proton motive force-driven motor activity",0,"0/63",""
"GO:0004133","GO:0004133","glycogen debranching enzyme activity",0,"0/63",""
"GO:0009975","GO:0009975","cyclase activity",0,"0/63",""
"GO:0016491","GO:0016491","oxidoreductase activity",9,"9/63","SPR/SELENBP1/RTN4IP1/PAM/HCRTR1/NDUFA1/HSD17B10/COX7A2L/ALDH5A1"
"GO:0016740","GO:0016740","transferase activity",6,"6/63","TRIM38/PLA2G15/PAM/METTL15/MBOAT7/GSTM3"
"GO:0016787","GO:0016787","hydrolase activity",11,"11/63","TPP1/SYNJ2/RECQL/PTER/PLA2G15/NUDT19/JUNB/IAH1/GAA/DDAH1/AARS2"
"GO:0016829","GO:0016829","lyase activity",1,"1/63","PAM"
"GO:0016853","GO:0016853","isomerase activity",2,"2/63","PPIF/MCEE"
"GO:0016874","GO:0016874","ligase activity",1,"1/63","AARS2"
"GO:0032451","GO:0032451","demethylase activity",0,"0/63",""
"GO:0061783","GO:0061783","peptidoglycan muralytic activity",0,"0/63",""
"GO:0140096","GO:0140096","catalytic activity, acting on a protein",4,"4/63","TRIM38/TPP1/PPIF/PAM"
"GO:0140640","GO:0140640","catalytic activity, acting on a nucleic acid",5,"5/63","RECQL/METTL15/JUNB/CHTF8/AARS2"
"GO:0003735","GO:0003735","structural constituent of ribosome",3,"3/63","MRPS18B/MRPS15/MRPL51"
"GO:0005199","GO:0005199","structural constituent of cell wall",0,"0/63",""
"GO:0005200","GO:0005200","structural constituent of cytoskeleton",0,"0/63",""
"GO:0005201","GO:0005201","extracellular matrix structural constituent",2,"2/63","LUM/COL6A2"
"GO:0005212","GO:0005212","structural constituent of eye lens",0,"0/63",""
"GO:0005213","GO:0005213","structural constituent of egg chorion",0,"0/63",""
"GO:0008147","GO:0008147","structural constituent of bone",0,"0/63",""
"GO:0008307","GO:0008307","structural constituent of muscle",0,"0/63",""
"GO:0008316","GO:0008316","structural constituent of vitelline membrane",0,"0/63",""
"GO:0016490","GO:0016490","structural constituent of peritrophic membrane",0,"0/63",""
"GO:0017056","GO:0017056","structural constituent of nuclear pore",0,"0/63",""
"GO:0019911","GO:0019911","structural constituent of myelin sheath",0,"0/63",""
"GO:0030280","GO:0030280","structural constituent of skin epidermis",0,"0/63",""
"GO:0030281","GO:0030281","structural constituent of cutaneous appendage",0,"0/63",""
"GO:0030527","GO:0030527","structural constituent of chromatin",1,"1/63","HMGA1"
"GO:0039660","GO:0039660","structural constituent of virion",0,"0/63",""
"GO:0042302","GO:0042302","structural constituent of cuticle",0,"0/63",""
"GO:0043886","GO:0043886","structural constituent of carboxysome",0,"0/63",""
"GO:0097099","GO:0097099","structural constituent of albumen",0,"0/63",""
"GO:0097493","GO:0097493","structural molecule activity conferring elasticity",0,"0/63",""
"GO:0098918","GO:0098918","structural constituent of synapse",0,"0/63",""
"GO:0140756","GO:0140756","structural constituent of proteasome",0,"0/63",""
"GO:0005319","GO:0005319","lipid transporter activity",0,"0/63",""
"GO:0022857","GO:0022857","transmembrane transporter activity",2,"2/63","NDUFA1/COX7A2L"
"GO:0140318","GO:0140318","protein transporter activity",0,"0/63",""
"GO:0000035","GO:0000035","acyl binding",0,"0/63",""
"GO:0003682","GO:0003682","chromatin binding",1,"1/63","HMGA1"
"GO:0003823","GO:0003823","antigen binding",0,"0/63",""
"GO:0005515","GO:0005515","protein binding",49,"49/63","TRIM38/TPP1/TIMP1/SYNJ2/SPR/PSG1/SH3PXD2A/SH2D4A/SERPING1/SERPINB1/SELENBP1/RTN4IP1/RECQL/RABAC1/PTER/PSME1/PPIF/PLGRKT/PDLIM3/PAM/PALM2AKAP2/PALM/MYO1C/MRPS18B/MRPL51/MICALL2/MCEE/MBOAT7/LXN/LUM/JUNB/IAH1/HSD17B10/HMGA1/GSTM3/GPRC5A/FGF2/EHD4/COL6A2/CHCHD6/CD81/CD68/SHFL/CYBC1/BNIP1/ARL6IP6/ALDH5A1/ADIRF/AARS2"
"GO:0005549","GO:0005549","odorant binding",0,"0/63",""
"GO:0008289","GO:0008289","lipid binding",5,"5/63","TPP1/SH3PXD2A/PLA2G15/CD81/ANXA13"
"GO:0008430","GO:0008430","selenium binding",1,"1/63","SELENBP1"
"GO:0015643","GO:0015643","toxic substance binding",0,"0/63",""
"GO:0019808","GO:0019808","polyamine binding",0,"0/63",""
"GO:0030246","GO:0030246","carbohydrate binding",2,"2/63","PAM/GAA"
"GO:0031409","GO:0031409","pigment binding",0,"0/63",""
