"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0033108","BP","GO:0033108","mitochondrial respiratory chain complex assembly","12/166","411/69652",4.08264277807947e-10,7.44674042721696e-07,6.56231107592353e-07,"UQCRFS1/TMEM126A/TFAM/NDUFS5/NDUFC2/NDUFB5/NDUFB4/NDUFB3/NDUFB10/NDUFA9/NDUFA5/LYRM7",12
"GO:0010257","BP","GO:0010257","NADH dehydrogenase complex assembly","9/166","246/69652",9.64869403742755e-09,5.86640597475595e-06,5.16966870005329e-06,"TMEM126A/NDUFS5/NDUFC2/NDUFB5/NDUFB4/NDUFB3/NDUFB10/NDUFA9/NDUFA5",9
"GO:0032981","BP","GO:0032981","mitochondrial respiratory chain complex I assembly","9/166","246/69652",9.64869403742755e-09,5.86640597475595e-06,5.16966870005329e-06,"TMEM126A/NDUFS5/NDUFC2/NDUFB5/NDUFB4/NDUFB3/NDUFB10/NDUFA9/NDUFA5",9
"GO:0019646","BP","GO:0019646","aerobic electron transport chain","10/166","353/69652",1.62434774782211e-08,7.40702573006882e-06,6.52731318664306e-06,"UQCRFS1/NDUFS5/NDUFC2/NDUFB5/NDUFB4/NDUFB3/NDUFB10/NDUFA9/NDUFA5/MTCO2P12",10
"GO:0006120","BP","GO:0006120","mitochondrial electron transport, NADH to ubiquinone","8/166","207/69652",4.28278257158997e-08,1.18426798082234e-05,1.04361565484517e-05,"NDUFS5/NDUFC2/NDUFB5/NDUFB4/NDUFB3/NDUFB10/NDUFA9/NDUFA5",8
"GO:0042773","BP","GO:0042773","ATP synthesis coupled electron transport","10/166","394/69652",4.54488808429625e-08,1.18426798082234e-05,1.04361565484517e-05,"UQCRFS1/NDUFS5/NDUFC2/NDUFB5/NDUFB4/NDUFB3/NDUFB10/NDUFA9/NDUFA5/MTCO2P12",10
"GO:0042775","BP","GO:0042775","mitochondrial ATP synthesis coupled electron transport","10/166","394/69652",4.54488808429625e-08,1.18426798082234e-05,1.04361565484517e-05,"UQCRFS1/NDUFS5/NDUFC2/NDUFB5/NDUFB4/NDUFB3/NDUFB10/NDUFA9/NDUFA5/MTCO2P12",10
"GO:0098869","BP","GO:0098869","cellular oxidant detoxification","9/166","484/69652",2.83273680938361e-06,0.000645863992539462,0.000569156461569574,"TXNRD2/PTGS2/PRDX2/NQO1/MGST3/HBA1/GSTM2/GSTK1/CAT",9
"GO:0009062","BP","GO:0009062","fatty acid catabolic process","8/166","464/69652",1.7577386324304e-05,0.00356235029505894,0.00313925952248096,"PHYH/IRS2/HSD17B4/ETFA/ECI2/ECI1/CRAT/CAT",8
"GO:0002474","BP","GO:0002474","antigen processing and presentation of peptide antigen via MHC class I","5/166","140/69652",2.32763055317499e-05,0.00424559812899119,0.00374135984705075,"TAPBP/PDIA3/HLA-C/HLA-B/B2M",5
"GO:0019882","BP","GO:0019882","antigen processing and presentation","8/166","498/69652",2.90304651884541e-05,0.00481377895488547,0.00424205936294444,"TREX1/TAPBP/PYCARD/PDIA3/ICAM1/HLA-C/HLA-B/B2M",8
"GO:0006635","BP","GO:0006635","fatty acid beta-oxidation","7/166","372/69652",3.43244837261885e-05,0.00489919179059254,0.00431732794565721,"IRS2/HSD17B4/ETFA/ECI2/ECI1/CRAT/CAT",7
"GO:0019885","BP","GO:0019885","antigen processing and presentation of endogenous peptide antigen via MHC class I","4/166","76/69652",3.49174853496179e-05,0.00489919179059254,0.00431732794565721,"TAPBP/HLA-C/HLA-B/B2M",4
"GO:0002483","BP","GO:0002483","antigen processing and presentation of endogenous peptide antigen","4/166","83/69652",4.93681438803363e-05,0.00643196388840953,0.00566805681994538,"TAPBP/HLA-C/HLA-B/B2M",4
"GO:0048002","BP","GO:0048002","antigen processing and presentation of peptide antigen","6/166","303/69652",9.5510110189261e-05,0.0116140293990141,0.010234662333965,"TAPBP/PYCARD/PDIA3/HLA-C/HLA-B/B2M",6
"GO:0019883","BP","GO:0019883","antigen processing and presentation of endogenous antigen","4/166","113/69652",0.000163635892357186,0.0186544917287192,0.0164389478703568,"TAPBP/HLA-C/HLA-B/B2M",4
"GO:0019254","BP","GO:0019254","carnitine metabolic process, CoA-linked","2/166","11/69652",0.00030616666697476,0.0328498823859978,0.0289483901220098,"CRAT/CAT",2
"GO:0046459","BP","GO:0046459","short-chain fatty acid metabolic process","3/166","57/69652",0.000353871044470628,0.0352151269098353,0.0310327209091173,"PHYH/CRAT/CAT",3
"GO:0140576","BP","GO:0140576","ascorbate homeostasis","2/166","12/69652",0.000366824238644118,0.0352151269098353,0.0310327209091173,"CYBRD1/CYB561D2",2
"GO:0006739","BP","GO:0006739","NADP metabolic process","4/166","142/69652",0.000391070730669639,0.0356656506370711,0.0314297371438178,"DDR2/NQO1/NADK2/ME2",4
"GO:1903659","BP","GO:1903659","regulation of complement-dependent cytotoxicity","3/166","61/69652",0.000432233968966727,0.0375426075902528,0.0330837729630171,"FHL1/CD59/CD55",3
"GO:0006779","BP","GO:0006779","porphyrin-containing compound biosynthetic process","4/166","158/69652",0.000584527198769953,0.0463555482850606,0.0408500243717034,"TSPO/TMEM14C/SUCLA2/HMBS",4
"GO:0033014","BP","GO:0033014","tetrapyrrole biosynthetic process","4/166","158/69652",0.000584527198769953,0.0463555482850606,0.0408500243717034,"TSPO/TMEM14C/SUCLA2/HMBS",4
