"","ID","Description","Count","GeneRatio","geneID"
"GO:0000146","GO:0000146","microfilament motor activity",1,"1/173","MYO1C"
"GO:0003777","GO:0003777","microtubule motor activity",0,"0/173",""
"GO:0061791","GO:0061791","GTPase motor activity",0,"0/173",""
"GO:0140605","GO:0140605","proton motive force-driven motor activity",0,"0/173",""
"GO:0004133","GO:0004133","glycogen debranching enzyme activity",0,"0/173",""
"GO:0009975","GO:0009975","cyclase activity",1,"1/173","BST1"
"GO:0016491","GO:0016491","oxidoreductase activity",37,"37/173","UQCRFS1/TXNRD2/RDH13/PYCR2/PTGS2/PRDX2/PIR/PHYH/PDIA3/NQO2/NQO1/NDUFS5/NDUFC2/NDUFB5/NDUFB4/NDUFB3/NDUFB10/NDUFA9/NDUFA5/MTCO2P12/MGST3/ME2/HSD17B4/HSD11B1/HBA1/GSTM2/GSTK1/FDXR/ETFA/CYBRD1/CYB561D2/CRYZ/CRYL1/CRAT/CAT/ALDH7A1/AKR1C1"
"GO:0016740","GO:0016740","transferase activity",15,"15/173","DDR2/NAT10/NADK2/METTL7A/HMBS/GUK1/GSTM2/GSTK1/GGT5/EIF2AK2/CRAT/CPNE3/CAT/CAST/BST1"
"GO:0016787","GO:0016787","hydrolase activity",24,"24/173","TREX1/SCPEP1/PYCARD/PRSS3/PRSS1/PDIA3/OTUD4/NT5E/MYO1C/LACTB/MRPL58/GGT5/ENDOD1/DPP7/DPP4/CMBL/CAT/BST1/BPHL/ATAD3B/ATAD3A/ARF4/ADAM9/ACOT13"
"GO:0016829","GO:0016829","lyase activity",7,"7/173","MGST3/ME2/HSD17B4/ENO1/ECI1/CA12/BST1"
"GO:0016853","GO:0016853","isomerase activity",6,"6/173","PPIA/PDIA3/HSD17B4/GALM/ECI2/ECI1"
"GO:0016874","GO:0016874","ligase activity",4,"4/173","SUCLA2/DARS2/CARS2/ACSF3"
"GO:0032451","GO:0032451","demethylase activity",0,"0/173",""
"GO:0061783","GO:0061783","peptidoglycan muralytic activity",0,"0/173",""
"GO:0140096","GO:0140096","catalytic activity, acting on a protein",16,"16/173","TXNRD2/DDR2/SCPEP1/PYCARD/PRSS3/PRSS1/PPIA/PDIA3/OTUD4/LACTB/GGT5/EIF2AK2/DPP7/DPP4/CPNE3/ADAM9"
"GO:0140640","GO:0140640","catalytic activity, acting on a nucleic acid",5,"5/173","TREX1/MRPL58/DARS2/CAST/CARS2"
"GO:0003735","GO:0003735","structural constituent of ribosome",3,"3/173","MRPS33/MRPL27/MRPL18"
"GO:0005199","GO:0005199","structural constituent of cell wall",0,"0/173",""
"GO:0005200","GO:0005200","structural constituent of cytoskeleton",6,"6/173","TLN2/PPL/PLEC/KRT5/KRT2/CROCC"
"GO:0005201","GO:0005201","extracellular matrix structural constituent",1,"1/173","COL6A3"
"GO:0005212","GO:0005212","structural constituent of eye lens",0,"0/173",""
"GO:0005213","GO:0005213","structural constituent of egg chorion",0,"0/173",""
"GO:0008147","GO:0008147","structural constituent of bone",0,"0/173",""
"GO:0008307","GO:0008307","structural constituent of muscle",1,"1/173","PLEC"
"GO:0008316","GO:0008316","structural constituent of vitelline membrane",0,"0/173",""
"GO:0016490","GO:0016490","structural constituent of peritrophic membrane",0,"0/173",""
"GO:0017056","GO:0017056","structural constituent of nuclear pore",1,"1/173","TPR"
"GO:0019911","GO:0019911","structural constituent of myelin sheath",0,"0/173",""
"GO:0030280","GO:0030280","structural constituent of skin epidermis",3,"3/173","KRT5/KRT2/KRT1"
"GO:0030281","GO:0030281","structural constituent of cutaneous appendage",0,"0/173",""
"GO:0030527","GO:0030527","structural constituent of chromatin",0,"0/173",""
"GO:0039660","GO:0039660","structural constituent of virion",0,"0/173",""
"GO:0042302","GO:0042302","structural constituent of cuticle",0,"0/173",""
"GO:0043886","GO:0043886","structural constituent of carboxysome",0,"0/173",""
"GO:0097099","GO:0097099","structural constituent of albumen",0,"0/173",""
"GO:0097493","GO:0097493","structural molecule activity conferring elasticity",1,"1/173","AHNAK"
"GO:0098918","GO:0098918","structural constituent of synapse",1,"1/173","CAST"
